Year	Year awarded	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry	Notes
1939	2014	Simak, Clifford D.	https://en.wikipedia.org/wiki/Clifford_D._Simak	Won	"Rule 18"	https://en.wikipedia.org/wiki/Rule_18	Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1939	2014	Campbell, John W.	https://en.wikipedia.org/wiki/John_W._Campbell	Nominated	"Dead Knowledge"		Astounding Stories	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1939	2014	Kuttner, Henry	https://en.wikipedia.org/wiki/Henry_Kuttner	Nominated	"Hollywood on the Moon"		Thrilling Wonder Stories	https://en.wikipedia.org/wiki/Wonder_Stories
1939	2014	Howard, Robert E.	https://en.wikipedia.org/wiki/Robert_E._Howard	Nominated	"Pigeons from Hell"	https://en.wikipedia.org/wiki/Pigeons_from_Hell	Weird Tales	https://en.wikipedia.org/wiki/Weird_Tales
1939	2014	Moore, C. L.	https://en.wikipedia.org/wiki/C._L._Moore	Nominated	"Werewoman"		Leaves
1946	1996	Leinster, Murray	https://en.wikipedia.org/wiki/Murray_Leinster	Won	"First Contact"	https://en.wikipedia.org/wiki/First_Contact_(novelette)	Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1946	1996	Brown, Fredric	https://en.wikipedia.org/wiki/Fredric_Brown	Nominated	"Pi in the Sky"		Thrilling Wonder Stories	https://en.wikipedia.org/wiki/Wonder_Stories
1946	1996	del Rey, Lester	https://en.wikipedia.org/wiki/Lester_del_Rey	Nominated	"Into Thy Hands"		Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1946	1996	van Vogt, A. E.	https://en.wikipedia.org/wiki/A._E._van_Vogt	Nominated	"The Mixed Men"		Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1946	1996	Padgett, Lewis	https://en.wikipedia.org/wiki/Henry_Kuttner	Nominated	"The Piper's Son"		Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1951	2001	Kornbluth, Cyril M.	https://en.wikipedia.org/wiki/Cyril_M._Kornbluth	Won	"The Little Black Bag"	https://en.wikipedia.org/wiki/The_Little_Black_Bag	Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1951	2001	Smith, Cordwainer	https://en.wikipedia.org/wiki/Cordwainer_Smith	Nominated	"Scanners Live in Vain"	https://en.wikipedia.org/wiki/Scanners_Live_in_Vain	Fantasy Book
1951	2001	Anderson, Poul	https://en.wikipedia.org/wiki/Poul_Anderson	Nominated	"The Helping Hand"		Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1951	2001	Blish, James	https://en.wikipedia.org/wiki/James_Blish	Nominated	"Okie"		Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1951	2001	Russell, Eric Frank	https://en.wikipedia.org/wiki/Eric_Frank_Russell	Nominated	"Dear Devil"		Other Worlds	https://en.wikipedia.org/wiki/Other_Worlds_(magazine)
1954	2004	Blish, James	https://en.wikipedia.org/wiki/James_Blish	Won	"Earthman, Come Home"	https://en.wikipedia.org/wiki/Earthman,_Come_Home	Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1954	2004	Dick, Philip K.	https://en.wikipedia.org/wiki/Philip_K._Dick	Nominated	"Second Variety"	https://en.wikipedia.org/wiki/Second_Variety	Space Science Fiction	https://en.wikipedia.org/wiki/Space_Science_Fiction
1954	2004	Anderson, Poul	https://en.wikipedia.org/wiki/Poul_Anderson	Nominated	"The Adventure of the Misplaced Hound"		Universe
1954	2004	Anderson, Poul	https://en.wikipedia.org/wiki/Poul_Anderson	Nominated	"Sam Hall"		Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1954	2004	Cogswell, Theodore	https://en.wikipedia.org/wiki/Theodore_Cogswell	Nominated	"The Wall Around the World"	https://en.wikipedia.org/wiki/The_Wall_Around_the_World	Beyond Fantasy Fiction	https://en.wikipedia.org/wiki/Beyond_Fantasy_Fiction
