

Year	Year	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1955	1955	Miller, Jr., Walter M.	https://en.wikipedia.org//wiki/Walter_M._Miller,_Jr.	Won	"The Darfsteller"	https://en.wikipedia.org//wiki/The_Darfsteller	Astounding Science-Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1956	1956	Leinster, Murray	https://en.wikipedia.org//wiki/Murray_Leinster	Won	"Exploration Team"	https://en.wikipedia.org//wiki/Exploration_Team	Astounding Science-Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1958	1958	Leiber, Fritz	https://en.wikipedia.org//wiki/Fritz_Leiber	Won	"The Big Time"	https://en.wikipedia.org//wiki/The_Big_Time	Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1959	1959	Simak, Clifford D.	https://en.wikipedia.org//wiki/Clifford_D._Simak	Won	"The Big Front Yard"	https://en.wikipedia.org//wiki/The_Big_Front_Yard	Astounding Science-Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1959	1959	Ashwell, Pauline	https://en.wikipedia.org//wiki/Pauline_Ashwell	Nominated	"Unwillingly to School"		Astounding Science-Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1959	1959	Henderson, Zenna	https://en.wikipedia.org//wiki/Zenna_Henderson	Nominated	"Captivity"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1959	1959	Kornbluth, C.M.	https://en.wikipedia.org//wiki/Cyril_M._Kornbluth	Nominated	"Reap the Dark Tide" (aka: "Shark Ship")		Vanguard
1959	1959	Leiber, Fritz	https://en.wikipedia.org//wiki/Fritz_Leiber	Nominated	"A Deskful of Girls"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1959	1959	MacLean, Katherine	https://en.wikipedia.org//wiki/Katherine_MacLean	Nominated	"Second Game"		Astounding Science-Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1959	1959	Phillips, Rog	https://en.wikipedia.org//wiki/Rog_Phillips	Nominated	"Rat in the Skull"		If	https://en.wikipedia.org//wiki/If_(magazine)
1959	1959	Vance, Jack	https://en.wikipedia.org//wiki/Jack_Vance	Nominated	"The Miracle-Workers"		Astounding Science-Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1967	1967	Vance, Jack	https://en.wikipedia.org//wiki/Jack_Vance	Won	"The Last Castle"	https://en.wikipedia.org//wiki/The_Last_Castle_(novella)	Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1967	1967	Dickson, Gordon R.	https://en.wikipedia.org//wiki/Gordon_R._Dickson	Nominated	"Call Him Lord"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1967	1967	Green, Jr., Robert M.,		Nominated	"Apology to Inky"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1967	1967	Harness, Charles L.	https://en.wikipedia.org//wiki/Charles_L._Harness	Nominated	"The Alchemist"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1967	1967	Harness, Charles L.	https://en.wikipedia.org//wiki/Charles_L._Harness	Nominated	"An Ornament to His Profession"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1967	1967	Howard, Hayden		Nominated	"The Eskimo Invasion"		Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1967	1967	Swann, Thomas Burnett	https://en.wikipedia.org//wiki/Thomas_Burnett_Swann	Nominated	"The Manor of Roses"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1967	1967	Zelazny, Roger	https://en.wikipedia.org//wiki/Roger_Zelazny	Nominated	"For a Breath I Tarry"	https://en.wikipedia.org//wiki/For_a_Breath_I_Tarry	Fantastic	https://en.wikipedia.org//wiki/Fantastic_(magazine)
1967	1967	Zelazny, Roger	https://en.wikipedia.org//wiki/Roger_Zelazny	Nominated	"This Moment of the Storm"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1968	1968	Leiber, Fritz	https://en.wikipedia.org//wiki/Fritz_Leiber	Won	"Gonna Roll the Bones"	https://en.wikipedia.org//wiki/Gonna_Roll_the_Bones	Dangerous Visions (Doubleday)	https://en.wikipedia.org//wiki/Dangerous_Visions
1968	1968	Norton, Andre	https://en.wikipedia.org//wiki/Andre_Norton	Nominated	"Wizard's World"		If	https://en.wikipedia.org//wiki/If_(magazine)
1968	1968	Dick, Philip K.	https://en.wikipedia.org//wiki/Philip_K._Dick	Nominated	"Faith of Our Fathers"	https://en.wikipedia.org//wiki/Faith_of_Our_Fathers	Dangerous Visions (Doubleday)	https://en.wikipedia.org//wiki/Dangerous_Visions
1968	1968	Ellison, Harlan	https://en.wikipedia.org//wiki/Harlan_Ellison	Nominated	"Pretty Maggie Moneyeyes"		Knight
1969	1969	Anderson, Poul	https://en.wikipedia.org//wiki/Poul_Anderson	Won	"The Sharing of Flesh"	https://en.wikipedia.org//wiki/The_Sharing_of_Flesh	Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1969	1969	Aldiss, Brian	https://en.wikipedia.org//wiki/Brian_Aldiss	Nominated	"Total Environment"		Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1969	1969	Anthony, Piers	https://en.wikipedia.org//wiki/Piers_Anthony	Nominated	"Getting Through University"		If	https://en.wikipedia.org//wiki/If_(magazine)
1969	1969	Wilson, Richard	https://en.wikipedia.org//wiki/Richard_Wilson_(author)	Nominated	"Mother to the World"		Orbit #3	https://en.wikipedia.org//wiki/Orbit_(anthology_series)
