Year	Year awarded	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1939	2014	Campbell, John W.	https://en.wikipedia.org/wiki/John_W._Campbell	Won	"Who Goes There?"	https://en.wikipedia.org/wiki/Who_Goes_There%3F	Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1939	2014	Rand, Ayn	https://en.wikipedia.org/wiki/Ayn_Rand	Nominated	Anthem	https://en.wikipedia.org/wiki/Anthem_(novella)	Cassell	https://en.wikipedia.org/wiki/Cassell_(publisher)
1939	2014	Gold, H. L.	https://en.wikipedia.org/wiki/H._L._Gold	Nominated	"A Matter of Form"		Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1939	2014	Wyndham, John	https://en.wikipedia.org/wiki/John_Wyndham	Nominated	"Sleepers of Mars"	https://en.wikipedia.org/wiki/Sleepers_of_Mars	Tales of Wonder	https://en.wikipedia.org/wiki/Tales_of_Wonder_(magazine)
1939	2014	Kuttner, Henry	https://en.wikipedia.org/wiki/Henry_Kuttner	Nominated	"The Time Trap"		Marvel Science Stories	https://en.wikipedia.org/wiki/Marvel_Science_Stories
1946	1996	Orwell, George	https://en.wikipedia.org/wiki/George_Orwell	Won	Animal Farm	https://en.wikipedia.org/wiki/Animal_Farm	Secker and Warburg	https://en.wikipedia.org/wiki/Harvill_Secker
1946	1996	Asimov, Isaac	https://en.wikipedia.org/wiki/Isaac_Asimov	Nominated	"Dead Hand"	https://en.wikipedia.org/wiki/Foundation_and_Empire	Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1946	1996	Chandler, A. Bertram	https://en.wikipedia.org/wiki/A._Bertram_Chandler	Nominated	"Giant Killer"		Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1946	1996	Shaver, Richard S.	https://en.wikipedia.org/wiki/Richard_Sharpe_Shaver	Nominated	"I Remember Lemuria"		Amazing Stories	https://en.wikipedia.org/wiki/Amazing_Stories
1951	2001	Heinlein, Robert A.	https://en.wikipedia.org/wiki/Robert_A._Heinlein	Won	The Man Who Sold the Moon	https://en.wikipedia.org/wiki/The_Man_Who_Sold_the_Moon	Shasta Publishers	https://en.wikipedia.org/wiki/Shasta_Publishers
1951	2001	Sturgeon, Theodore	https://en.wikipedia.org/wiki/Theodore_Sturgeon	Nominated	"The Dreaming Jewels"	https://en.wikipedia.org/wiki/The_Dreaming_Jewels	Fantastic Adventures	https://en.wikipedia.org/wiki/Fantastic_Adventures
1951	2001	Asimov, Isaac	https://en.wikipedia.org/wiki/Isaac_Asimov	Nominated	"...And Now You Don't"	https://en.wikipedia.org/wiki/Second_Foundation	Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1951	2001	Piper, H. Beam	https://en.wikipedia.org/wiki/H._Beam_Piper	Nominated	"Last Enemy"	https://en.wikipedia.org/wiki/Last_Enemy	Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1951	2001	Hubbard, L. Ron	https://en.wikipedia.org/wiki/L._Ron_Hubbard	Nominated	"To the Stars"	https://en.wikipedia.org/wiki/To_the_Stars_(novel)	Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1954	2004	Blish, James	https://en.wikipedia.org/wiki/James_Blish	Won	"A Case of Conscience"	https://en.wikipedia.org/wiki/A_Case_of_Conscience	If	https://en.wikipedia.org/wiki/If_(magazine)
1954	2004	Anderson, Poul	https://en.wikipedia.org/wiki/Poul_Anderson	Nominated	"Three Hearts and Three Lions"	https://en.wikipedia.org/wiki/Three_Hearts_and_Three_Lions	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1954	2004	Sturgeon, Theodore	https://en.wikipedia.org/wiki/Theodore_Sturgeon	Nominated	"...And My Fear is Great..."		Beyond Fantasy Fiction	https://en.wikipedia.org/wiki/Beyond_Fantasy_Fiction
1954	2004	Anderson, Poul	https://en.wikipedia.org/wiki/Poul_Anderson	Nominated	"Un-Man"	https://en.wikipedia.org/wiki/Un-Man	Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1954	2004	Harness, Charles L.	https://en.wikipedia.org/wiki/Charles_L._Harness	Nominated	"The Rose"		Authentic Science Fiction	https://en.wikipedia.org/wiki/Authentic_Science_Fiction
