Year	Year	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1968	1968	Farmer, Philip José	https://en.wikipedia.org//wiki/Philip_Jos%C3%A9_Farmer	Won	"Riders of the Purple Wage"	https://en.wikipedia.org//wiki/Riders_of_the_Purple_Wage	Dangerous Visions (Doubleday)	https://en.wikipedia.org//wiki/Dangerous_Visions
1968	1968	McCaffrey, Anne	https://en.wikipedia.org//wiki/Anne_McCaffrey	Won	"Weyr Search"	https://en.wikipedia.org//wiki/Weyr_Search	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1968	1968	Zelazny, Roger	https://en.wikipedia.org//wiki/Roger_Zelazny	Nominated	"Damnation Alley"	https://en.wikipedia.org//wiki/Damnation_Alley	Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1968	1968	Delany, Samuel R.	https://en.wikipedia.org//wiki/Samuel_R._Delany	Nominated	"The Star Pit"		Worlds of Tomorrow	https://en.wikipedia.org//wiki/Worlds_of_Tomorrow_(magazine)
1968	1968	Silverberg, Robert	https://en.wikipedia.org//wiki/Robert_Silverberg	Nominated	"Hawksbill Station"	https://en.wikipedia.org//wiki/Hawksbill_Station	Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1969	1969	Silverberg, Robert	https://en.wikipedia.org//wiki/Robert_Silverberg	Won	"Nightwings"	https://en.wikipedia.org//wiki/Nightwings	Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1969	1969	McCaffrey, Anne	https://en.wikipedia.org//wiki/Anne_McCaffrey	Nominated	"Dragonrider"	https://en.wikipedia.org//wiki/Dragonflight	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1969	1969	Delany, Samuel R.	https://en.wikipedia.org//wiki/Samuel_R._Delany	Nominated	"Lines of Power"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1969	1969	McLaughlin, Dean	https://en.wikipedia.org//wiki/Dean_McLaughlin	Nominated	"Hawk Among the Sparrows"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1970	1970	Leiber, Fritz	https://en.wikipedia.org//wiki/Fritz_Leiber	Won	"Ship of Shadows"	https://en.wikipedia.org//w/index.php?title=Ship_of_Shadows&action=edit&redlink=1	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1970	1970	Ellison, Harlan	https://en.wikipedia.org//wiki/Harlan_Ellison	Nominated	"A Boy and His Dog"	https://en.wikipedia.org//wiki/A_Boy_and_His_Dog	The Beast that Shouted Love at the Heart of the World	https://en.wikipedia.org//wiki/The_Beast_that_Shouted_Love_at_the_Heart_of_the_World
1970	1970	Blish, James	https://en.wikipedia.org//wiki/James_Blish	Nominated	"We All Die Naked"		Three for Tomorrow (Meredith Press)
1970	1970	McCaffrey, Anne	https://en.wikipedia.org//wiki/Anne_McCaffrey	Nominated	"Dramatic Mission"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1970	1970	Silverberg, Robert	https://en.wikipedia.org//wiki/Robert_Silverberg	Nominated	"To Jorslem"	https://en.wikipedia.org//wiki/Nightwings	Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1971	1971	Leiber, Fritz	https://en.wikipedia.org//wiki/Fritz_Leiber	Won	"Ill Met in Lankhmar"	https://en.wikipedia.org//wiki/Ill_Met_in_Lankhmar	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1971	1971	Simak, Clifford D.	https://en.wikipedia.org//wiki/Clifford_D._Simak	Nominated	"The Thing in the Stone"		If	https://en.wikipedia.org//wiki/If_(magazine)
1971	1971	Ellison, Harlan	https://en.wikipedia.org//wiki/Harlan_Ellison	Nominated	"The Region Between"		Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1971	1971	Silverberg, Robert	https://en.wikipedia.org//wiki/Robert_Silverberg	Nominated	"The World Inside"	https://en.wikipedia.org//wiki/The_World_Inside	Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1971	1971	Koontz, Dean	https://en.wikipedia.org//wiki/Dean_Koontz	Nominated	"Beastchild"		Venture Science Fiction Magazine	https://en.wikipedia.org//wiki/Venture_Science_Fiction_Magazine
1972	1972	Anderson, Poul	https://en.wikipedia.org//wiki/Poul_Anderson	Won	"The Queen of Air and Darkness"	https://en.wikipedia.org//wiki/The_Queen_of_Air_and_Darkness_(novella)	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1972	1972	Clarke, Arthur C.	https://en.wikipedia.org//wiki/Arthur_C._Clarke	Nominated	"A Meeting with Medusa"	https://en.wikipedia.org//wiki/A_Meeting_with_Medusa	Playboy	https://en.wikipedia.org//wiki/Playboy
1972	1972	Niven, Larry	https://en.wikipedia.org//wiki/Larry_Niven	Nominated	"The Fourth Profession"		Quark/4 (Paperback Library)	https://en.wikipedia.org//wiki/Quark/4
1972	1972	Brunner, John	https://en.wikipedia.org//wiki/John_Brunner_(novelist)	Nominated	"Dread Empire"		Fantastic	https://en.wikipedia.org//wiki/Fantastic_(magazine)
1972	1972	Dozois, Gardner	https://en.wikipedia.org//wiki/Gardner_Dozois	Nominated	"A Special Kind of Morning"		New Dimensions 1 (Doubleday)	https://en.wikipedia.org//wiki/Doubleday_(publisher)
1973	1973	Le Guin, Ursula K.	https://en.wikipedia.org//wiki/Ursula_K._Le_Guin	Won	"The Word for World Is Forest"	https://en.wikipedia.org//wiki/The_Word_for_World_Is_Forest	Again, Dangerous Visions (Doubleday)	https://en.wikipedia.org//wiki/Again,_Dangerous_Visions
1973	1973	Pohl, Frederik	https://en.wikipedia.org//wiki/Frederik_Pohl	Nominated	"The Gold at the Starbow's End"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1973	1973	Wolfe, Gene	https://en.wikipedia.org//wiki/Gene_Wolfe	Nominated	"The Fifth Head of Cerberus"	https://en.wikipedia.org//wiki/The_Fifth_Head_of_Cerberus	Orbit #10 (Putnam Publishing Group)	https://en.wikipedia.org//wiki/Orbit_(anthology_series)#Orbit_10
1973	1973	Haldeman, Joe	https://en.wikipedia.org//wiki/Joe_Haldeman	Nominated	"Hero"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1973	1973	Pournelle, Jerry	https://en.wikipedia.org//wiki/Jerry_Pournelle	Nominated	"The Mercenary"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1974	1974	Tiptree, Jr., James	https://en.wikipedia.org//wiki/James_Tiptree,_Jr.	Won	"The Girl Who Was Plugged In"	https://en.wikipedia.org//wiki/The_Girl_Who_Was_Plugged_In	New Dimensions 3 (Doubleday)	https://en.wikipedia.org//wiki/Doubleday_(publisher)
