Year	Year awarded	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1939	2014	Clarke, Arthur C.	https://en.wikipedia.org/wiki/Arthur_C._Clarke	Won	"How We Went to Mars"	https://en.wikipedia.org/wiki/How_We_Went_to_Mars	Amateur Science Stories	https://en.wikipedia.org/wiki/Amateur_Science_Stories
1939	2014	Rey, Lester del	https://en.wikipedia.org/wiki/Lester_del_Rey	Nominated	"The Faithful"		Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1939	2014	Rey, Lester del	https://en.wikipedia.org/wiki/Lester_del_Rey	Nominated	"Helen O'Loy"	https://en.wikipedia.org/wiki/Helen_O%27Loy	Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1939	2014	Bradbury, Ray	https://en.wikipedia.org/wiki/Ray_Bradbury	Nominated	"Hollerbochen's Dilemma"		Imagination!
1939	2014	Camp, L. Sprague de	https://en.wikipedia.org/wiki/L._Sprague_de_Camp	Nominated	"Hyperpilosity"	https://en.wikipedia.org/wiki/Hyperpilosity	Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1946	1996	Clement, Hal	https://en.wikipedia.org/wiki/Hal_Clement	Won	"Uncommon Sense"	https://en.wikipedia.org/wiki/Uncommon_Sense	Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1946	1996	Leinster, Murray	https://en.wikipedia.org/wiki/Murray_Leinster	Nominated	"The Ethical Equations"		Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1946	1996	Brown, Fredric	https://en.wikipedia.org/wiki/Fredric_Brown	Nominated	"The Waveries"		Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1946	1996	Padgett, Lewis	https://en.wikipedia.org/wiki/Henry_Kuttner	Nominated	"What You Need"		Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1946	1996	Jones, Raymond F.	https://en.wikipedia.org/wiki/Raymond_F._Jones	Nominated	"Correspondence Course"		Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1951	2001	Knight, Damon	https://en.wikipedia.org/wiki/Damon_Knight	Won	"To Serve Man"	https://en.wikipedia.org/wiki/To_Serve_Man	Galaxy Science Fiction	https://en.wikipedia.org/wiki/Galaxy_Science_Fiction
1951	2001	Leiber, Fritz	https://en.wikipedia.org/wiki/Fritz_Leiber	Nominated	"Coming Attraction"	https://en.wikipedia.org/wiki/Coming_Attraction	Galaxy Science Fiction	https://en.wikipedia.org/wiki/Galaxy_Science_Fiction
1951	2001	Matheson, Richard	https://en.wikipedia.org/wiki/Richard_Matheson	Nominated	"Born of Man and Woman"	https://en.wikipedia.org/wiki/Born_of_Man_and_Woman	The Magazine of Fantasy and Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1951	2001	Deutsch, A. J.	https://en.wikipedia.org/wiki/A._J._Deutsch	Nominated	"A Subway Named Mobius"		Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1951	2001	Bretnor, Reginald	https://en.wikipedia.org/wiki/Reginald_Bretnor	Nominated	"The Gnurrs Come from the Voodvork Out"		The Magazine of Fantasy and Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1954	2004	Clarke, Arthur C.	https://en.wikipedia.org/wiki/Arthur_C._Clarke	Won	"The Nine Billion Names of God"	https://en.wikipedia.org/wiki/The_Nine_Billion_Names_of_God	Star Science Fiction Stories #1 (Ballantine Books)	https://en.wikipedia.org/wiki/Star_Science_Fiction_Stories_No.1
1954	2004	Bixby, Jerome	https://en.wikipedia.org/wiki/Jerome_Bixby	Nominated	"It's a Good Life"	https://en.wikipedia.org/wiki/It%27s_a_Good_Life	Star Science Fiction Stories #2 (Ballantine Books)	https://en.wikipedia.org/wiki/Star_Science_Fiction_Stories_No.2
1954	2004	Bester, Alfred	https://en.wikipedia.org/wiki/Alfred_Bester	Nominated	"Star Light, Star Bright"	https://en.wikipedia.org/wiki/Star_Light,_Star_Bright_(short_story)	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1954	2004	Sturgeon, Theodore	https://en.wikipedia.org/wiki/Theodore_Sturgeon	Nominated	"A Saucer of Loneliness"	https://en.wikipedia.org/wiki/A_Saucer_of_Loneliness	Galaxy Science Fiction	https://en.wikipedia.org/wiki/Galaxy_Science_Fiction
1954	2004	Sheckley, Robert	https://en.wikipedia.org/wiki/Robert_Sheckley	Nominated	"Seventh Victim"		Galaxy Science Fiction	https://en.wikipedia.org/wiki/Galaxy_Science_Fiction
