Year	Year awarded	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1955	1955	Russell, Eric Frank	https://en.wikipedia.org/wiki/Eric_Frank_Russell	Won	"Allamagoosa"	https://en.wikipedia.org/wiki/Allamagoosa	Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1956	1956	Clarke, Arthur C.	https://en.wikipedia.org/wiki/Arthur_C._Clarke	Won	"The Star"	https://en.wikipedia.org/wiki/The_Star_(Clarke_short_story)	Infinity Science Fiction	https://en.wikipedia.org/wiki/Infinity_Science_Fiction
1958	1958	Davidson, Avram	https://en.wikipedia.org/wiki/Avram_Davidson	Won	"Or All the Seas with Oysters"	https://en.wikipedia.org/wiki/Or_All_the_Seas_with_Oysters	Galaxy Science Fiction	https://en.wikipedia.org/wiki/Galaxy_Science_Fiction
1959	1959	Bloch, Robert	https://en.wikipedia.org/wiki/Robert_Bloch	Won	"That Hell-Bound Train"	https://en.wikipedia.org/wiki/That_Hell-Bound_Train	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1959	1959	Baker, Anton Lee		Nominated	"They've Been Working On..."		Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1959	1959	Bester, Alfred	https://en.wikipedia.org/wiki/Alfred_Bester	Nominated	"The Men Who Murdered Mohammed"	https://en.wikipedia.org/wiki/The_Men_Who_Murdered_Mohammed	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1959	1959	Bone, J. F.		Nominated	"Triggerman"		Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1959	1959	Budrys, Algis	https://en.wikipedia.org/wiki/Algis_Budrys	Nominated	"The Edge of the Sea"		Venture Science Fiction	https://en.wikipedia.org/wiki/Venture_Science_Fiction
1959	1959	Kornbluth, C. M.	https://en.wikipedia.org/wiki/Cyril_M._Kornbluth	Nominated	"The Advent on Channel Twelve"		Star Science Fiction Stories #4 (Ballantine Books)	https://en.wikipedia.org/wiki/Ballantine_Books
1959	1959	Kornbluth, C. M.	https://en.wikipedia.org/wiki/Cyril_M._Kornbluth	Nominated	"Theory of Rocketry"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1959	1959	Leiber, Fritz	https://en.wikipedia.org/wiki/Fritz_Leiber	Nominated	"Rump-Titty-Titty-Tum-Tah-Tee"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1959	1959	Mullen, Stanley	https://en.wikipedia.org/wiki/Stanley_Mullen	Nominated	"Space to Swing a Cat"		Astounding Science-Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1959	1959	Wellman, Manly Wade	https://en.wikipedia.org/wiki/Manly_Wade_Wellman	Nominated	"Nine Yards of Other Cloth"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1960	1960	Keyes, Daniel	https://en.wikipedia.org/wiki/Daniel_Keyes	Won	"Flowers for Algernon"	https://en.wikipedia.org/wiki/Flowers_for_Algernon	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
