Year awarded	Year	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry	Notes
1975	1975	Ellison, Harlan	https://en.wikipedia.org/wiki/Harlan_Ellison	Won	"Adrift Just Off the Islets of Langerhans: Latitude 38° 54' N, Longitude 77° 00' 13" W"	https://en.wikipedia.org/wiki/Adrift_Just_Off_the_Islets_of_Langerhans:_Latitude_38%C2%B0_54%27_N,_Longitude_77%C2%B0_00%27_13%22_W
1976	1976	Le Guin, Ursula K.	https://en.wikipedia.org/wiki/Ursula_K._Le_Guin	Won	"The New Atlantis"
1977	1977	Asimov, Isaac	https://en.wikipedia.org/wiki/Isaac_Asimov	Won	"The Bicentennial Man"	https://en.wikipedia.org/wiki/The_Bicentennial_Man
1979	1979	Varley, John	https://en.wikipedia.org/wiki/John_Varley_(author)	Won	"The Barbie Murders"	https://en.wikipedia.org/wiki/The_Barbie_Murders
1980	1980	Martin, George R. R.	https://en.wikipedia.org/wiki/George_R._R._Martin	Won	"Sandkings"	https://en.wikipedia.org/wiki/Sandkings_(novelette)
1981	1981	Disch, Thomas M.	https://en.wikipedia.org/wiki/Thomas_M._Disch	Won	"The Brave Little Toaster"	https://en.wikipedia.org/wiki/The_Brave_Little_Toaster
1982	1982	Martin, George R. R.	https://en.wikipedia.org/wiki/George_R._R._Martin	Won	"Guardians"
1983	1983	Ellison, Harlan	https://en.wikipedia.org/wiki/Harlan_Ellison	Won	"Djinn, No Chaser"
1984	1984	Martin, George R. R.	https://en.wikipedia.org/wiki/George_R._R._Martin	Won	"The Monkey Treatment"
1985	1985	Butler, Octavia E.	https://en.wikipedia.org/wiki/Octavia_Butler	Won	"Bloodchild"
1986	1986	Ellison, Harlan	https://en.wikipedia.org/wiki/Harlan_Ellison	Won	"Paladin of the Lost Hour"
1987	1987	Brin, David	https://en.wikipedia.org/wiki/David_Brin	Won	"Thor Meets Captain America"	https://en.wikipedia.org/wiki/Thor_Meets_Captain_America
1988	1988	Murphy, Pat	https://en.wikipedia.org/wiki/Pat_Murphy_(writer)	Won	"Rachel in Love"
1989	1989	Ellison, Harlan	https://en.wikipedia.org/wiki/Harlan_Ellison	Won	"The Function of Dream Sleep"
1990	1990	Card, Orson Scott	https://en.wikipedia.org/wiki/Orson_Scott_Card	Won	"Dogwalker"
1991	1991	Simmons, Dan	https://en.wikipedia.org/wiki/Dan_Simmons	Won	"Entropy's Bed at Midnight"
1992	1992	Simmons, Dan	https://en.wikipedia.org/wiki/Dan_Simmons	Won	"All Dracula's Children"
1993	1993	Sargent, Pamela	https://en.wikipedia.org/wiki/Pamela_Sargent	Won	"Danny Goes to Mars"
1994	1994	Simmons, Dan	https://en.wikipedia.org/wiki/Dan_Simmons	Won	"Death in Bangkok"
1995	1995	Gerrold, David	https://en.wikipedia.org/wiki/David_Gerrold	Won	"The Martian Child"
1996	1996	Resnick, Mike	https://en.wikipedia.org/wiki/Mike_Resnick	Won	"When the Old Gods Die"
1997	1997	Le Guin, Ursula K.	https://en.wikipedia.org/wiki/Ursula_K._Le_Guin	Won	"Mountain Ways"
1998	1998	Willis, Connie	https://en.wikipedia.org/wiki/Connie_Willis	Won	"Newsletter"
1999	1999	Egan, Greg	https://en.wikipedia.org/wiki/Greg_Egan	Won	"The Planck Drive"
1999	1999	Sterling, Bruce	https://en.wikipedia.org/wiki/Bruce_Sterling	Won	"Taklamakan"
2000	2000	Baxter, Stephen	https://en.wikipedia.org/wiki/Stephen_Baxter	Won	"Huddle"
2000	2000	Egan, Greg	https://en.wikipedia.org/wiki/Greg_Egan	Won	"Border Guards"
2001	2001	Le Guin, Ursula K.	https://en.wikipedia.org/wiki/Ursula_K._Le_Guin	Won	"The Birthday of the World"
2002	2002	Chiang, Ted	https://en.wikipedia.org/wiki/Ted_Chiang	Won	"Hell is the Absence of God"	https://en.wikipedia.org/wiki/Hell_is_the_Absence_of_God
2003	2003	Le Guin, Ursula K.	https://en.wikipedia.org/wiki/Ursula_K._Le_Guin	Won	"The Wild Girls"
2004	2004	Gaiman, Neil	https://en.wikipedia.org/wiki/Neil_Gaiman	Won	"A Study in Emerald"
2005	2005	Link, Kelly	https://en.wikipedia.org/wiki/Kelly_Link	Won	"The Faery Handbag"	https://en.wikipedia.org/wiki/The_Faery_Handbag
2005	2005	Mieville, China	https://en.wikipedia.org/wiki/China_Mieville	Won	"Reports of Certain Events in London"
2006	2006	Doctorow, Cory	https://en.wikipedia.org/wiki/Cory_Doctorow	Won	"I, Robot"
2007	2007	Doctorow, Cory	https://en.wikipedia.org/wiki/Cory_Doctorow	Won	"When Sysadmins Ruled the Earth"
2008	2008	Gaiman, Neil	https://en.wikipedia.org/wiki/Neil_Gaiman	Won	"The Witch's Headstone"
2009	2009	Bacigalupi, Paolo	https://en.wikipedia.org/wiki/Paolo_Bacigalupi	Won	"Pump Six"
2010	2010	Beagle, Peter S.	https://en.wikipedia.org/wiki/Peter_S._Beagle	Won	"By Moonlight"
2011	2011	Gaiman, Neil	https://en.wikipedia.org/wiki/Neil_Gaiman	Won	"The Truth Is a Cave in the Black Mountains"
2012	2012	Valente, Catherynne M.	https://en.wikipedia.org/wiki/Catherynne_M._Valente	Won	"White Lines on a Green Field"
2013	2013	Cadigan, Pat	https://en.wikipedia.org/wiki/Pat_Cadigan	Won	"The Girl-Thing Who Went Out for Sushi"	https://en.wikipedia.org/wiki/The_Girl-Thing_Who_Went_Out_for_Sushi
2014	2014	Gaiman, Neil	https://en.wikipedia.org/wiki/Neil_Gaiman	Won	"The Sleeper and the Spindle"
