Year awarded	Year	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry	Notes
1973	1973	Pohl, Frederik	https://en.wikipedia.org/wiki/Frederik_Pohl	Won	"The Gold at the Starbow's End"
1974	1974	Wolfe, Gene	https://en.wikipedia.org/wiki/Gene_Wolfe	Won	"The Death of Doctor Island"
1975	1975	Silverberg, Robert	https://en.wikipedia.org/wiki/Robert_Silverberg	Won	"Born with the Dead"
1976	1976	Tuttle, Lisa	https://en.wikipedia.org/wiki/Lisa_Tuttle	Won	"The Storms of Windhaven"
1976	1976	Martin, George R. R.	https://en.wikipedia.org/wiki/George_R._R._Martin	Won	"The Storms of Windhaven"
1977	1977	Bishop, Michael	https://en.wikipedia.org/wiki/Michael_Bishop_(author)	Won	"The Samurai and the Willows"
1978	1978	Robinson, Jeanne		Won	"Stardance"
1978	1978	Robinson, Spider	https://en.wikipedia.org/wiki/Spider_Robinson	Won	"Stardance"	https://en.wikipedia.org/wiki/Stardance
1979	1979	Varley, John	https://en.wikipedia.org/wiki/John_Varley_(author)	Won	"The Persistence of Vision"	https://en.wikipedia.org/wiki/The_Persistence_of_Vision
1980	1980	Longyear, Barry B.	https://en.wikipedia.org/wiki/Barry_B._Longyear	Won	"Enemy Mine"	https://en.wikipedia.org/wiki/Enemy_Mine_(novella)
1981	1981	Martin, George R. R.	https://en.wikipedia.org/wiki/George_R._R._Martin	Won	"Nightflyers"	https://en.wikipedia.org/wiki/Nightflyers
1982	1982	Varley, John	https://en.wikipedia.org/wiki/John_Varley_(author)	Won	"Blue Champagne"
1983	1983	Russ, Joanna	https://en.wikipedia.org/wiki/Joanna_Russ 	Won	"Souls"	https://en.wikipedia.org/wiki/Souls_(story)
1984	1984	Bishop, Michael	https://en.wikipedia.org/wiki/Michael_Bishop_(author)	Won	"Her Habiline Husband"
1985	1985	Varley, John	https://en.wikipedia.org/wiki/John_Varley_(author)	Won	"PRESS ENTER[]"
1986	1986	Tiptree, Jr., James	https://en.wikipedia.org/wiki/James_Tiptree,_Jr.	Won	"The Only Neat Thing to Do"
1987	1987	Shepard, Lucius	https://en.wikipedia.org/wiki/Lucius_Shepard	Won	"R&R"
1988	1988	Silverberg, Robert	https://en.wikipedia.org/wiki/Robert_Silverberg	Won	"The Secret Sharer"
1989	1989	Shepard, Lucius	https://en.wikipedia.org/wiki/Lucius_Shepard	Won	"The Scalehunter's Beautiful Daughter"
1990	1990	Shepard, Lucius	https://en.wikipedia.org/wiki/Lucius_Shepard	Won	"The Father of Stones"
