Year awarded	Year	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry	Notes
1971	1971	Ellison, Harlan	https://en.wikipedia.org/wiki/Harlan_Ellison	Won	"The Region Between"
1972	1972	Anderson, Poul	https://en.wikipedia.org/wiki/Poul_Anderson	Won	"The Queen of Air and Darkness"
1973	1973	Ellison, Harlan	https://en.wikipedia.org/wiki/Harlan_Ellison	Won	"Basilisk"
1974	1974	Ellison, Harlan	https://en.wikipedia.org/wiki/Harlan_Ellison	Won	"The Deathbird"
1975	1975	Le Guin, Ursula K.	https://en.wikipedia.org/wiki/Ursula_K._Le_Guin	Won	"The Day Before the Revolution"
1976	1976	Ellison, Harlan	https://en.wikipedia.org/wiki/Harlan_Ellison	Won	"Croatoan"
1977	1977	Haldeman, Joe	https://en.wikipedia.org/wiki/Joe_Haldeman	Won	"Tricentennial"
1978	1978	Ellison, Harlan	https://en.wikipedia.org/wiki/Harlan_Ellison	Won	"Jeffty Is Five"
1979	1979	Ellison, Harlan	https://en.wikipedia.org/wiki/Harlan_Ellison	Won	"Count the Clock that Tells the Time"
1980	1980	Martin, George R. R.	https://en.wikipedia.org/wiki/George_R._R._Martin	Won	"The Way of Cross and Dragon"
1981	1981	Simak, Clifford D.	https://en.wikipedia.org/wiki/Clifford_D._Simak	Won	"Grotto of the Dancing Deer"
1982	1982	Varley, John	https://en.wikipedia.org/wiki/John_Varley_(author)	Won	"The Pusher"
1983	1983	Le Guin, Ursula K.	https://en.wikipedia.org/wiki/Ursula_K._Le_Guin	Won	"Sur"
1984	1984	Tiptree, Jr., James	https://en.wikipedia.org/wiki/James_Tiptree,_Jr.	Won	"Beyond the Dead Reef"
1985	1985	Shepard, Lucius	https://en.wikipedia.org/wiki/Lucius_Shepard	Won	"Salvador"
1986	1986	Ellison, Harlan	https://en.wikipedia.org/wiki/Harlan_Ellison	Won	"With Virgil Oddum at the East Pole"
1987	1987	Asimov, Isaac	https://en.wikipedia.org/wiki/Isaac_Asimov	Won	"Robot Dreams"
1988	1988	Cadigan, Pat	https://en.wikipedia.org/wiki/Pat_Cadigan	Won	"Angel"
1989	1989	Ellison, Harlan	https://en.wikipedia.org/wiki/Harlan_Ellison	Won	"Eidolons"
1990	1990	Card, Orson Scott	https://en.wikipedia.org/wiki/Orson_Scott_Card	Won	"Lost Boys"
1991	1991	Bisson, Terry	https://en.wikipedia.org/wiki/Terry_Bisson	Won	"Bears Discover Fire"
1992	1992	Kessel, John	https://en.wikipedia.org/wiki/John_Kessel	Won	"Buffalo"
1993	1993	Willis, Connie	https://en.wikipedia.org/wiki/Connie_Willis	Won	"Even the Queen"
1994	1994	Willis, Connie	https://en.wikipedia.org/wiki/Connie_Willis	Won	"Close Encounter"
1995	1995	Haldeman, Joe	https://en.wikipedia.org/wiki/Joe_Haldeman	Won	"None So Blind"
1996	1996	McHugh, Maureen F.	https://en.wikipedia.org/wiki/Maureen_F._McHugh	Won	"The Lincoln Train"
1997	1997	Crowley, John	https://en.wikipedia.org/wiki/John_Crowley	Won	"Gone"
1998	1998	Kelly, James Patrick	https://en.wikipedia.org/wiki/James_Patrick_Kelly	Won	"Itsy Bitsy Spider"
1999	1999	Sterling, Bruce	https://en.wikipedia.org/wiki/Bruce_Sterling	Won	"Maneki Neko"
2000	2000	Bisson, Terry	https://en.wikipedia.org/wiki/Terry_Bisson	Won	"macs"
2001	2001	Niven, Larry	https://en.wikipedia.org/wiki/Larry_Niven	Won	"The Missing Mass"
2002	2002	Le Guin, Ursula K.	https://en.wikipedia.org/wiki/Ursula_K._Le_Guin	Won	"The Bones of the Earth"
2003	2003	Gaiman, Neil	https://en.wikipedia.org/wiki/Neil_Gaiman	Won	"October in the Chair"
2004	2004	Gaiman, Neil	https://en.wikipedia.org/wiki/Neil_Gaiman	Won	"Closing Time"
2005	2005	Gaiman, Neil	https://en.wikipedia.org/wiki/Neil_Gaiman	Won	"Forbidden Brides of the Faceless Slaves in the Nameless House of the Night of Dread Desire"
2006	2006	Gaiman, Neil	https://en.wikipedia.org/wiki/Neil_Gaiman	Won	"Sunbird"
2007	2007	Gaiman, Neil	https://en.wikipedia.org/wiki/Neil_Gaiman	Won	"How to Talk to Girls at Parties"	https://en.wikipedia.org/wiki/How_to_Talk_to_Girls_at_Parties
2008	2008	Swanwick, Michael	https://en.wikipedia.org/wiki/Michael_Swanwick	Won	"A Small Room in Koboldtown"
2009	2009	Chiang, Ted	https://en.wikipedia.org/wiki/Ted_Chiang	Won	"Exhalation"
2010	2010	Gaiman, Neil	https://en.wikipedia.org/wiki/Neil_Gaiman	Won	"An Invocation of Incuriosity"
2011	2011	Gaiman, Neil	https://en.wikipedia.org/wiki/Neil_Gaiman	Won	"The Thing About Cassandra"
2012	2012	Gaiman, Neil	https://en.wikipedia.org/wiki/Neil_Gaiman	Won	"The Case of Death and Honey"
2013	2013	de Bodard, Aliette	https://en.wikipedia.org/wiki/Aliette_de_Bodard	Won	"Immersion"
2014	2014	Kiernan, Caitlín R.	https://en.wikipedia.org/wiki/Caitl%C3%ADn_R._Kiernan	Won	"The Road of Needles"
