Year awarded	Year	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1966	1966	Zelazny, Roger	https://en.wikipedia.org//wiki/Roger_Zelazny	Won	The Doors of His Face, the Lamps of His Mouth	https://en.wikipedia.org//wiki/The_Doors_of_His_Face,_The_Lamps_of_His_Mouth,_and_Other_Stories	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1966	1966	Blish, James	https://en.wikipedia.org//wiki/James_Blish	Nominated	The Shipwrecked Hotel		Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1966	1966	Knight, Norman L.	https://en.wikipedia.org//wiki/Norman_L._Knight	Nominated	The Shipwrecked Hotel	https://en.wikipedia.org//wiki/The_Doors_of_His_Face,_The_Lamps_of_His_Mouth,_and_Other_Stories	Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1966	1966	Brand, Jonathan		Nominated	"Vanishing Point"		If	https://en.wikipedia.org//wiki/If_(magazine)
1966	1966	Disch, Thomas M.	https://en.wikipedia.org//wiki/Thomas_M._Disch	Nominated	"102 H-Bombs"		Fantastic	https://en.wikipedia.org//wiki/Fantastic_(magazine)
1966	1966	Fitzpatrick, R. C.		Nominated	"Half a Loaf"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1966	1966	Green, Joseph	https://en.wikipedia.org//wiki/Joseph_L._Green	Nominated	The Decision Makers		Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1966	1966	Kagan, Norman		Nominated	"At the Institute"		Worlds of Tomorrow	https://en.wikipedia.org//wiki/Worlds_of_Tomorrow_(magazine)
1966	1966	Kagan, Norman		Nominated	The Earth Merchants		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1966	1966	Kagan, Norman		Nominated	"Laugh Along with Franz"		Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1966	1966	Karageorge, Michael	https://en.wikipedia.org//wiki/Poul_Anderson	Nominated	The Life of Your Time		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1966	1966	Leiber, Fritz	https://en.wikipedia.org//wiki/Fritz_Leiber	Nominated	"Four Ghosts In Hamlet"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1966	1966	McCarty, E. Clayton		Nominated	"Small One"		If	https://en.wikipedia.org//wiki/If_(magazine)
