Year awarded	Year	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1966	1966	Ellison, Harlan	https://en.wikipedia.org/wiki/Harlan_Ellison	Won	'Repent, Harlequin!' Said the Ticktockman	https://en.wikipedia.org/wiki/%27Repent,_Harlequin!%27_Said_the_Ticktockman	Galaxy Science Fiction	https://en.wikipedia.org/wiki/Galaxy_Science_Fiction
1966	1966	Asimov, Isaac	https://en.wikipedia.org/wiki/Isaac_Asimov	Nominated	"Eyes Do More Than See"	https://en.wikipedia.org/wiki/Eyes_Do_More_Than_See	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1966	1966	Asimov, Isaac	https://en.wikipedia.org/wiki/Isaac_Asimov	Nominated	"Founding Father"	https://en.wikipedia.org/wiki/Founding_Father_(short_story)	Galaxy Science Fiction	https://en.wikipedia.org/wiki/Galaxy_Science_Fiction
1966	1966	Ballard, J. G.	https://en.wikipedia.org/wiki/J._G._Ballard	Nominated	"Souvenir"		Playboy	https://en.wikipedia.org/wiki/Playboy
1966	1966	Barthelme, Donald	https://en.wikipedia.org/wiki/Donald_Barthelme	Nominated	"Game"		The New Yorker	https://en.wikipedia.org/wiki/The_New_Yorker
1966	1966	Beauclerk, Jane	https://en.wikipedia.org/wiki/Jane_Beauclerk	Nominated	"Lord Moon"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1966	1966	Carter, Lin	https://en.wikipedia.org/wiki/Lin_Carter	Nominated	"Uncollected Works"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1966	1966	Christopher, John	https://en.wikipedia.org/wiki/Samuel_Youd	Nominated	A Few Kindred Spirits		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1966	1966	Davidson, Avram	https://en.wikipedia.org/wiki/Avram_Davidson	Nominated	The House the Blakeneys Built		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1966	1966	Dickson, Gordon R.	https://en.wikipedia.org/wiki/Gordon_R._Dickson	Nominated	"Computers Don't Argue"	https://en.wikipedia.org/wiki/Computers_Don%27t_Argue	Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1966	1966	Disch, Thomas M.	https://en.wikipedia.org/wiki/Thomas_M._Disch	Nominated	"Come to Venus Melancholy"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1966	1966	Durham, James A.		Nominated	"Of One Mind"		If	https://en.wikipedia.org/wiki/If_(magazine)
1966	1966	Gold, H. L.	https://en.wikipedia.org/wiki/H._L._Gold	Nominated	"Inside Man"		Galaxy Science Fiction	https://en.wikipedia.org/wiki/Galaxy_Science_Fiction
1966	1966	Goulart, Ron	https://en.wikipedia.org/wiki/Ron_Goulart	Nominated	"Calling Dr. Clockwork"		Amazing Stories	https://en.wikipedia.org/wiki/Amazing_Stories
1966	1966	Kirs, Alex		Nominated	"Better Than Ever"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1966	1966	Lafferty, R. A.	https://en.wikipedia.org/wiki/R._A._Lafferty	Nominated	"In Our Block"		If	https://en.wikipedia.org/wiki/If_(magazine)
1966	1966	Lafferty, R. A.	https://en.wikipedia.org/wiki/R._A._Lafferty	Nominated	"Slow Tuesday Night"		Galaxy Science Fiction	https://en.wikipedia.org/wiki/Galaxy_Science_Fiction
1966	1966	Leiber, Fritz	https://en.wikipedia.org/wiki/Fritz_Leiber	Nominated	"Cyclops"		Worlds of Tomorrow	https://en.wikipedia.org/wiki/Worlds_of_Tomorrow_(magazine)
1966	1966	Leiber, Fritz	https://en.wikipedia.org/wiki/Fritz_Leiber	Nominated	The Good New Days		Galaxy Science Fiction	https://en.wikipedia.org/wiki/Galaxy_Science_Fiction
1966	1966	McCombs, Larry		Nominated	The Peacock King		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1966	1966	White, Ted	https://en.wikipedia.org/wiki/Ted_White_(author)	Nominated	The Peacock King	https://en.wikipedia.org/wiki/Computers_Don%27t_Argue	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1966	1966	Nichols, Scott	https://en.wikipedia.org/wiki/Thomas_N._Scortia	Nominated	"Though a Sparrow Fall"		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1966	1966	Niven, Larry	https://en.wikipedia.org/wiki/Larry_Niven	Nominated	"Becalmed in Hell"	https://en.wikipedia.org/wiki/Inconstant_Moon#Becalmed_in_Hell	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1966	1966	Niven, Larry	https://en.wikipedia.org/wiki/Larry_Niven	Nominated	"Wrong-Way Street"		Galaxy Science Fiction	https://en.wikipedia.org/wiki/Galaxy_Science_Fiction
1966	1966	Olin, Richard		Nominated	The Mischief Maker		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1966	1966	Pangborn, Edgar	https://en.wikipedia.org/wiki/Edgar_Pangborn	Nominated	A Better Mousehole		Galaxy Science Fiction	https://en.wikipedia.org/wiki/Galaxy_Science_Fiction
